Adresse;Bezirk;WBezArt;Wahlbezirk;AghWkr;StimmArt;OstWest;WberIns;Waehler;Waehlerp;Gueltig;Gueltigp;Unguelt;Ungueltp;P01;P01p;P02;P02p;P03;P03p;P04;P04p;P05;P05p;P06;P06p;P07;P07p;P08;P08p;P09;P09p;P10;P10p;P11;P11p;P12;P12p;P13;P13p;P14;P14p;P15;P15p;P16;P16p;P17;P17p;P18;P18p;P19;P19p;P20;P20p;P21;P21p;P22;P22p;P23;P23p;P24;P24p;P25;P25p;P26;P26p;P27;P27p;P28;P28p;P29;P29p;P30;P30p;P31;P31p;P32;P32p;P33;P33p;P34;P34p;P35;P35p;P36;P36p;P37;P37p;P38;P38p;P39;P39p;P40;P40p;P41;P41p;P42;P42p
05W432;05;W;432;04;2;W;1215;580;47,7;575;99,8;1;0,2;131;22,8;217;37,7;87;15,1;38;6,6;11;1,9;6;1,0;11;1,9;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;9;1,6;10;1,7;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;52;9,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W433;05;W;433;04;2;W;1089;391;35,9;383;98,0;8;2,0;137;35,8;115;30,0;47;12,3;15;3,9;5;1,3;9;2,3;9;2,3;0;0,0;0;0,0;2;0,5;0;0,0;0;0,0;1;0,3;0;0,0;1;0,3;0;0,0;10;2,6;1;0,3;0;0,0;1;0,3;1;0,3;0;0,0;0;0,0;0;0,0;0;0,0;29;7,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W501;05;W;501;05;2;W;950;382;40,2;376;98,4;6;1,6;115;30,6;122;32,4;48;12,8;14;3,7;15;4,0;4;1,1;11;2,9;0;0,0;0;0,0;3;0,8;0;0,0;0;0,0;3;0,8;0;0,0;1;0,3;0;0,0;3;0,8;4;1,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;33;8,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W502;05;W;502;05;2;W;685;283;41,3;273;96,5;10;3,5;93;34,1;73;26,7;42;15,4;8;2,9;8;2,9;8;2,9;0;0,0;0;0,0;0;0,0;2;0,7;2;0,7;0;0,0;3;1,1;0;0,0;0;0,0;0;0,0;1;0,4;3;1,1;1;0,4;0;0,0;2;0,7;0;0,0;0;0,0;0;0,0;0;0,0;27;9,9;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W503;05;W;503;05;2;W;827;455;55,0;444;97,6;11;2,4;136;30,6;175;39,4;66;14,9;6;1,4;12;2,7;4;0,9;7;1,6;0;0,0;0;0,0;4;0,9;0;0,0;0;0,0;3;0,7;0;0,0;0;0,0;0;0,0;1;0,2;3;0,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;27;6,1;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W504;05;W;504;05;2;W;901;488;54,2;482;98,8;6;1,2;116;24,1;221;45,9;66;13,7;8;1,7;12;2,5;5;1,0;3;0,6;0;0,0;0;0,0;2;0,4;0;0,0;0;0,0;3;0,6;0;0,0;2;0,4;0;0,0;1;0,2;2;0,4;0;0,0;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;40;8,3;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W505;05;W;505;05;2;W;825;345;41,8;343;99,4;2;0,6;92;26,8;148;43,1;50;14,6;5;1,5;8;2,3;1;0,3;5;1,5;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,9;0;0,0;0;0,0;0;0,0;6;1,7;2;0,6;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;23;6,7;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W506;05;W;506;05;2;W;1116;558;50,0;547;98,0;11;2,0;179;32,7;193;35,3;57;10,4;12;2,2;8;1,5;16;2,9;10;1,8;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;1;0,2;0;0,0;1;0,2;0;0,0;15;2,7;7;1,3;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;46;8,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W507;05;W;507;05;2;W;1061;600;56,6;589;98,2;11;1,8;163;27,7;217;36,8;111;18,8;7;1,2;15;2,5;4;0,7;7;1,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;5;0,8;0;0,0;0;0,0;0;0,0;8;1,4;5;0,8;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;46;7,8;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
05W508;05;W;508;05;2;W;1046;502;48,0;498;99,2;4;0,8;98;19,7;223;44,8;77;15,5;13;2,6;17;3,4;6;1,2;10;2,0;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;2;0,4;0;0,0;0;0,0;0;0,0;7;1,4;4;0,8;2;0,4;0;0,0;1;0,2;0;0,0;0;0,0;0;0,0;0;0,0;37;7,4;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
